dateiname,id,rezept,land,kontinent,gang,art,prompt
haehnchen-tajine-mit-zitrone-und-oliven.jpg,haehnchen-tajine-mit-zitrone-und-oliven,Hähnchen-Tajine mit Salzzitrone und Oliven,Marokko,Afrika,Hauptgericht,Geflügel,"Food-Fotografie: Hähnchen-Tajine mit Salzzitrone und Oliven, Hauptgericht aus Marokko. Im Bild klar erkennbar: Hähnchenteile, grüne Oliven, Zwiebeln. Angerichtet wie beschrieben: Mit Fladenbrot oder Couscous, der den Sud aufnimmt. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
kaab-el-ghzal.jpg,kaab-el-ghzal,Kaab el ghzal,Marokko,Afrika,Dessert,Vegetarisch,"Food-Fotografie: Kaab el ghzal, Dessert aus Marokko. Im Bild klar erkennbar: Butter, gemahlene Mandeln, Zimt. Fast auf Augenhöhe, 20 Grad, serviert in Kuchenteller oder Glasschale, die Schichten oder die Kruste sichtbar. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
tajine-de-poulet-aux-citrons-confits.jpg,tajine-de-poulet-aux-citrons-confits,Tajine de poulet aux citrons confits,Marokko,Afrika,Hauptgericht,Geflügel,"Food-Fotografie: Tajine de poulet aux citrons confits, Hauptgericht aus Marokko. Im Bild klar erkennbar: Hähnchen, grüne Oliven, Zwiebeln. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
couscous-mauritanien.jpg,couscous-mauritanien,Couscous mauritanien,Mauretanien,Afrika,Hauptgericht,"Fleisch, Lamm","Food-Fotografie: Couscous mauritanien, Hauptgericht aus Mauretanien. Im Bild klar erkennbar: Couscous, Lammfleisch, Möhren. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: schlichter Holztisch in Sandton; ein Leinentuch am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
lakh.jpg,lakh,Lakh,Mauretanien,Afrika,Frühstück,Vegetarisch,"Food-Fotografie: Lakh, Frühstück aus Mauretanien. Im Bild klar erkennbar: feiner Hirse-Couscous, Milch oder Joghurt, leicht gesäuerte Milch. Schrägsicht von 45 Grad, serviert auf Frühstücksbrett oder Teller, Morgenlicht, ein Tuch beiläufig danebengelegt. Untergrund: schlichter Holztisch in Sandton; ein Leinentuch am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
mechoui.jpg,mechoui,Mechoui,Mauretanien,Afrika,Hauptgericht,"Fleisch, Lamm","Food-Fotografie: Mechoui, Hauptgericht aus Mauretanien. Im Bild klar erkennbar: Lammschulter oder -keule, Butter oder Schmalz vom Lamm, gemahlener Kreuzkümmel. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: schlichter Holztisch in Sandton; ein Leinentuch am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
brik.jpg,brik,Brik,Tunesien,Afrika,Vorspeise,Fisch,"Food-Fotografie: Brik, Vorspeise aus Tunesien. Im Bild klar erkennbar: Malsouka- oder Filoteigblätter, Eier, Thunfisch. Aufsicht von 90 Grad, serviert auf kleiner flacher Teller, viel freie Fläche um den Teller. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
couscous-tunisien-au-poisson.jpg,couscous-tunisien-au-poisson,Couscous tunisien au poisson,Tunesien,Afrika,Hauptgericht,Fisch,"Food-Fotografie: Couscous tunisien au poisson, Hauptgericht aus Tunesien. Im Bild klar erkennbar: Couscous, fester Fisch, Harissa. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
lablabi.jpg,lablabi,Lablabi,Tunesien,Afrika,Frühstück,Vegetarisch,"Food-Fotografie: Lablabi, Frühstück aus Tunesien. Im Bild klar erkennbar: getrocknete Kichererbsen, Knoblauch, gemahlener Kreuzkümmel. Schrägsicht von 45 Grad, serviert auf Frühstücksbrett oder Teller, Morgenlicht, ein Tuch beiläufig danebengelegt. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
atay.jpg,atay,Atay,Westsahara,Afrika,Getränk,"Vegetarisch, Vegan","Food-Fotografie: Atay, Getränk aus Westsahara. Im Bild klar erkennbar: grüner Tee, frische Minze. Auf Augenhöhe, serviert in einfaches Glas oder Tasse, ein zweites Glas angeschnitten im Hintergrund. Untergrund: schlichter Holztisch in Sandton; ein Leinentuch am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
couscous-sahraoui.jpg,couscous-sahraoui,Couscous sahraoui,Westsahara,Afrika,Hauptgericht,"Fleisch, Lamm","Food-Fotografie: Couscous sahraoui, Hauptgericht aus Westsahara. Im Bild klar erkennbar: Couscous, Lammfleisch, Zwiebeln. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: schlichter Holztisch in Sandton; ein Leinentuch am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
khobz-dafun.jpg,khobz-dafun,Khobz dafun,Westsahara,Afrika,Beilage,"Vegetarisch, Vegan","Food-Fotografie: Khobz dafun, Beilage aus Westsahara. Schrägsicht von 45 Grad, serviert in kleine Schüssel, als Teil eines größeren Tisches angedeutet. Untergrund: schlichter Holztisch in Sandton; ein Leinentuch am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
ful-medames.jpg,ful-medames,Ful medames,Ägypten,Afrika,Frühstück,"Vegetarisch, Vegan","Food-Fotografie: Ful medames, Frühstück aus Ägypten. Im Bild klar erkennbar: getrocknete Saubohnen, Zitronen, Knoblauch. Schrägsicht von 45 Grad, serviert auf Frühstücksbrett oder Teller, Morgenlicht, ein Tuch beiläufig danebengelegt. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
koshari.jpg,koshari,Koshari,Ägypten,Afrika,Hauptgericht,"Vegetarisch, Vegan","Food-Fotografie: Koshari, Hauptgericht aus Ägypten. Im Bild klar erkennbar: Reis, braune Linsen, kleine Nudeln. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
